index,Price
0,1357500.0
1,466500.0
2,722500.0
3,789500.0
4,705000.0
5,2180000.0
6,407500.0
7,1630000.0
8,1375000.0
9,734750.0
10,1412500.0
11,935000.0
12,658000.0
13,1880000.0
14,413500.0
15,927500.0
16,2415500.0
17,356125.0
18,1281750.0
19,1150000.0
20,1313500.0
21,558000.0
22,612500.0
23,781500.0
24,722500.0
25,834750.0
26,659000.0
27,1331000.0
28,388000.0
29,475000.0
30,1430000.0
31,540000.0
32,1335000.0
33,686000.0
34,1100000.0
35,666500.0
36,712500.0
37,1042500.0
38,253750.0
39,816000.0
40,871000.0
41,1140000.0
42,456500.0
43,947500.0
44,761500.0
45,706000.0
46,447500.0
47,1917500.0
48,838000.0
49,637500.0
50,1635000.0
51,1762500.0
52,1030000.0
53,1089000.0
54,1063000.0
55,1765000.0
56,1123000.0
57,1115000.0
58,680000.0
59,1510000.0
60,665000.0
61,855000.0
62,1472500.0
63,1367500.0
64,1741000.0
65,1770700.0
66,602250.0
67,615000.0
68,548500.0
69,2525000.0
70,703000.0
71,715250.0
72,500000.0
73,2525000.0
74,820000.0
75,717500.0
76,1265000.0
77,1126000.0
78,655000.0
79,633000.0
80,595000.0
81,1400000.0
82,1188500.0
83,1452500.0
84,1321500.0
85,1531000.0
86,363000.0
87,3125000.0
88,1222500.0
89,1502500.0
90,1415000.0
91,1118750.0
92,752500.0
93,363000.0
94,646000.0
95,2355000.0
96,1850000.0
97,735000.0
98,879500.0
99,495000.0
100,940000.0
101,3850000.0
102,747500.0
103,1362500.0
104,2015000.0
105,1265500.0
106,1150000.0
107,1913750.0
108,453000.0
109,1485000.0
110,683500.0
111,549000.0
112,1347500.0
113,1327500.0
114,725000.0
115,854000.0
116,860000.0
117,631875.0
118,1130500.0
119,1077500.0
120,2925000.0
121,873000.0
122,1122500.0
123,840000.0
124,770000.0
125,631500.0
126,1292500.0
127,985000.0
128,1070000.0
129,1130500.0
130,1913750.0
131,1348000.0
132,594500.0
133,1097500.0
134,871000.0
135,712250.0
136,753500.0
137,545000.0
138,946000.0
139,1315000.0
140,3850000.0
141,1320000.0
142,822500.0
143,500000.0
144,749000.0
145,860000.0
146,1142500.0
147,2535000.0
148,611750.0
149,2785000.0
150,1550000.0
151,1065500.0
152,826500.0
153,577500.0
154,681500.0
155,2275000.0
156,1126500.0
157,820500.0
158,680000.0
159,598000.0
160,1105000.0
161,598000.0
162,708500.0
163,1900000.0
164,809000.0
165,625000.0
166,1460000.0
167,970000.0
168,2800000.0
169,2032500.0
170,722500.0
171,891000.0
172,749500.0
173,862500.0
174,1475000.0
175,596000.0
176,805650.0
177,1110000.0
178,715000.0
179,680000.0
180,592000.0
181,1109500.0
182,1952500.0
183,854000.0
184,826500.0
185,535750.0
186,1845000.0
187,920000.0
188,535000.0
189,500000.0
190,781500.0
191,666500.0
192,1510000.0
193,532500.0
194,1106000.0
195,1850000.0
196,1335000.0
197,1216000.0
198,842500.0
199,1264500.0
200,1100000.0
201,816000.0
202,1434000.0
203,330000.0
204,617500.0
205,945500.0
206,715000.0
207,1885000.0
208,2665500.0
209,1372500.0
210,1175000.0
211,1523250.0
212,1735000.0
213,1022500.0
214,1080000.0
215,1957500.0
216,2352500.0
217,221500.0
218,786500.0
219,1287500.0
220,1910000.0
221,1242500.0
222,912500.0
223,960000.0
224,857750.0
225,610000.0
226,775000.0
227,995000.0
228,2785000.0
229,1431000.0
230,550000.0
231,2180500.0
232,1702500.0
233,1657500.0
234,1250000.0
235,1300000.0
236,1183000.0
237,1050000.0
238,521250.0
239,734250.0
240,722500.0
241,1917500.0
242,526500.0
243,899250.0
244,680000.0
245,1011250.0
246,742500.0
247,1357500.0
248,831500.0
249,507500.0
250,596000.0
251,920000.0
252,1288000.0
253,1027500.0
254,1330000.0
255,713500.0
256,838000.0
257,1112500.0
258,980000.0
259,1013250.0
260,1565000.0
261,1812500.0
262,475000.0
263,1442000.0
264,680000.0
265,970500.0
266,1285000.0
267,1652500.0
268,2357500.0
269,777500.0
270,1291250.0
271,705500.0
272,530000.0
273,672500.0
274,1380250.0
275,714000.0
276,558000.0
277,2415000.0
278,1057500.0
279,1169000.0
280,1242500.0
281,1127500.0
282,862500.0
283,762500.0
284,491000.0
285,800000.0
286,852500.0
287,390000.0
288,801500.0
289,2975000.0
290,1306250.0
291,742000.0
292,647500.0
293,552500.0
294,981250.0
295,713500.0
296,753500.0
297,1440000.0
298,1430000.0
299,1147500.0
300,595500.0
301,1145000.0
302,1375000.0
303,905250.0
304,743500.0
305,1137500.0
306,514000.0
307,896000.0
308,1431000.0
309,923000.0
310,973000.0
311,565500.0
312,805000.0
313,358000.0
314,1110000.0
315,825000.0
316,748750.0
317,652500.0
318,1060000.0
319,1355000.0
320,520000.0
321,860250.0
322,456500.0
323,1073000.0
324,487500.0
325,985000.0
326,912000.0
327,1252500.0
328,1280000.0
329,1810000.0
330,1257000.0
331,1245000.0
332,1500000.0
333,416000.0
334,650500.0
335,331000.0
336,813500.0
337,365000.0
338,815500.0
339,551250.0
340,1067750.0
341,1330000.0
342,541500.0
343,567500.0
344,962500.0
345,481500.0
346,1895000.0
347,905000.0
348,985000.0
349,2214000.0
350,1637500.0
351,678750.0
352,602500.0
353,860000.0
354,406000.0
355,535000.0
356,1878500.0
357,782500.0
358,1546000.0
359,536750.0
360,601500.0
361,1352500.0
362,1050000.0
363,750000.0
364,1339944.0
365,879100.0
366,925000.0
367,850000.0
368,955000.0
369,549000.0
370,2222944.0
371,1275000.0
372,1625000.0
373,1043500.0
374,845000.0
375,1375000.0
376,594500.0
377,1442000.0
378,615500.0
379,1180000.0
380,2015000.0
381,567500.0
382,1213750.0
383,1117500.0
384,1140000.0
385,1472500.0
386,1408500.0
387,1027500.0
388,780000.0
389,1025000.0
390,309250.0
391,1035250.0
392,1310000.0
393,826500.0
394,1300000.0
395,796500.0
396,1102000.0
397,838000.0
398,1382500.0
399,705500.0
400,986000.0
401,818000.0
402,1736500.0
403,769500.0
404,892500.0
405,1321000.0
406,745500.0
407,795000.0
408,900000.0
409,767944.0
410,598000.0
411,1220000.0
412,712500.0
413,545000.0
414,1542500.0
415,770500.0
416,994000.0
417,2820000.0
418,1461500.0
419,1542500.0
420,690500.0
421,437500.0
422,1587500.0
423,2390000.0
424,360000.0
425,1242500.0
426,876000.0
427,380000.0
428,830000.0
429,658000.0
430,1064000.0
431,931750.0
432,1688000.0
433,853750.0
434,755000.0
435,2592500.0
436,655000.0
437,541500.0
438,1220000.0
439,977500.0
440,678750.0
441,2192500.0
442,360000.0
443,957500.0
444,576000.0
445,1652500.0
446,1635000.0
447,1321500.0
448,1527500.0
449,747500.0
450,1353750.0
451,619500.0
452,896000.0
453,2106500.0
454,838000.0
455,740000.0
456,1007000.0
457,2577500.0
458,768000.0
459,770000.0
460,1470000.0
461,892500.0
462,570000.0
463,1330000.0
464,1166250.0
465,1010625.0
466,576500.0
467,2925000.0
468,927500.0
469,1137500.0
470,845000.0
471,655000.0
472,457500.0
473,721000.0
474,253750.0
475,1202500.0
476,1058500.0
477,1202500.0
478,372500.0
479,1485000.0
480,1185000.0
481,1245000.0
482,1093500.0
483,1262500.0
484,1061750.0
485,1000000.0
486,1155500.0
487,632500.0
488,980000.0
489,1930000.0
490,1570000.0
491,591000.0
492,457750.0
493,1375000.0
494,605500.0
495,1185000.0
496,1875000.0
497,2453000.0
498,597500.0
499,781500.0
500,1155500.0
501,1595500.0
502,763500.0
503,396250.0
504,308500.0
505,1292500.0
506,655000.0
507,748750.0
508,1382500.0
509,340000.0
510,1345000.0
511,1350000.0
512,721250.0
513,1242500.0
514,907500.0
515,1820000.0
516,810000.0
517,2062500.0
518,1845000.0
519,880000.0
520,2762500.0
521,1132500.0
522,1257500.0
523,917500.0
524,1210000.0
525,569500.0
526,490000.0
527,826500.0
528,427000.0
529,1133000.0
530,2336000.0
531,604250.0
532,700000.0
